atypical	typical
improbable	probable
invisible	visible
anal	oral
forward	reverse
impersonal	personal
vernal	wintry
equatorial	polar
off-street	on-street
insane	sane
figurative	literal
irremovable	removable
spirited	spiritless
nonrepresentational	representational
downtown	uptown
adroit	maladroit
inviolable	violable
unwitting	witting
equivocal	unequivocal
unusual	usual
credible	incredible
distinct	indistinct
complaining	uncomplaining
commercial	noncommercial
trimmed	untrimmed
bettering	worsening
carnivorous	insectivorous
unweaned	weaned
blended	unblended
brotherly	sisterly
chartered	unchartered
composed	discomposed
catarrhine	platyrrhine
immortal	mortal
unveiled	veiled
ill-defined	well-defined
hypertensive	normotensive
associative	nonassociative
aesthetic	inaesthetic
abused	unabused
intra_vires	ultra_vires
black	white
servile	unservile
adequate	inadequate
center	right
crystallized	uncrystallized
blessed	cursed
established	unestablished
protective	unprotective
alert	unalert
inheritable	noninheritable
linear	planar
seasoned	unseasoned
autologous	homologous
harmful	harmless
confined	invasive
fewest	most
understood	ununderstood
rh-negative	rh-positive
frail	robust
landed	landless
atonic	tonic
concentric	eccentric
compartmented	uncompartmented
nasty	nice
extended	unextended
disobedient	obedient
masochistic	sadistic
shockable	unshockable
misused	used
precocious	retarded
financial	nonfinancial
evitable	inevitable
anodic	cathodic
sonic	subsonic
bimodal	unimodal
healthful	unhealthful
adjusted	unadjusted
inflected	uninflected
antagonistic	synergistic
styleless	stylish
innumerate	numerate
irrevocable	revocable
nonreturnable	returnable
irresponsible	responsible
extrasensory	sensory
tasteful	tasteless
ovoviviparous	viviparous
finite	infinite
loved	unloved
offstage	onstage
subsurface	surface
seeded	unseeded
regenerate	unregenerate
asexual	sexual
signed	unsigned
compact	loose
hollow	solid
hydric	mesic
nonslippery	slippery
hungry	thirsty
long	short
assigned	unassigned
aperiodic	periodic
salable	unsalable
monogamous	polygamous
dystopian	utopian
military	unmilitary
official	unofficial
cousinly	uncousinly
unwomanly	womanly
supported	unsupported
cubic	planar
gregarious	ungregarious
manly	unmanly
energetic	lethargic
enforced	unenforced
contemptible	estimable
credulous	incredulous
noticeable	unnoticeable
powerful	powerless
argumentative	unargumentative
binucleate	trinucleate
ascending	descending
apologetic	unapologetic
prophetic	unprophetic
delineated	undelineated
easy	uneasy
tracked	trackless
rhymed	unrhymed
inorganic	organic
reportable	unreportable
intrusive	protrusive
fractional	whole
disorderly	orderly
chaste	unchaste
maxi	mini
empty	full
acute	chronic
dry	wet
following	leading
definite	indefinite
ashamed	unashamed
derived	underived
imperceptible	perceptible
illiterate	literate
traceable	untraceable
touched	untouched
dextral	sinistral
a_posteriori	a_priori
passing	running
insensible	sensible
invulnerable	vulnerable
achondritic	chondritic
adopted	native
